dataset,season,row_count,generated_at_utc
drives,2014,42185,2026-08-24 00:40:05 UTC
drives,2015,42855,2026-08-24 00:39:03 UTC
drives,2016,41220,2026-08-24 00:37:56 UTC
drives,2017,41575,2026-08-24 00:36:52 UTC
drives,2018,40996,2026-08-24 00:35:47 UTC
drives,2019,41127,2026-08-24 00:34:41 UTC
drives,2020,42135,2026-08-24 00:33:36 UTC
drives,2021,21196,2026-08-24 00:32:30 UTC
drives,2022,37412,2026-08-24 00:31:40 UTC
drives,2023,39409,2026-08-24 00:30:41 UTC
drives,2024,37865,2026-08-24 00:29:36 UTC
drives,2025,39717,2026-08-24 00:28:31 UTC
drives,2026,39728,2026-08-24 00:27:26 UTC
