dataset,season,row_count,generated_at_utc
linescore,2014,12496,2026-08-24 00:40:13 UTC
linescore,2015,12646,2026-08-24 00:39:11 UTC
linescore,2016,12216,2026-08-24 00:38:04 UTC
linescore,2017,12322,2026-08-24 00:36:59 UTC
linescore,2018,12268,2026-08-24 00:35:54 UTC
linescore,2019,12368,2026-08-24 00:34:49 UTC
linescore,2020,13058,2026-08-24 00:33:43 UTC
linescore,2021,6700,2026-08-24 00:32:37 UTC
linescore,2022,12162,2026-08-24 00:31:47 UTC
linescore,2023,12908,2026-08-24 00:30:48 UTC
linescore,2024,12716,2026-08-24 00:29:43 UTC
linescore,2025,13530,2026-08-24 00:28:38 UTC
linescore,2026,13680,2026-08-24 00:45:01 UTC
