dataset,season,row_count,generated_at_utc
officials,2013,11334,2026-08-24 01:45:02 UTC
officials,2014,11612,2026-08-24 01:44:02 UTC
officials,2015,12148,2026-08-24 01:43:00 UTC
officials,2016,12472,2026-08-24 01:41:57 UTC
officials,2017,12504,2026-08-24 01:40:56 UTC
officials,2018,12514,2026-08-24 01:39:52 UTC
officials,2019,13071,2026-08-24 01:38:51 UTC
officials,2020,6290,2026-08-24 09:53:34 UTC
officials,2021,3877,2026-08-24 09:51:36 UTC
officials,2022,2354,2026-08-24 09:48:46 UTC
officials,2023,1846,2026-08-24 09:45:51 UTC
officials,2024,1822,2026-08-24 09:42:48 UTC
officials,2025,1688,2026-08-24 09:39:40 UTC
