dataset,season,row_count,generated_at_utc
pbp,2014,344180,2026-08-24 00:39:27 UTC
pbp,2015,349222,2026-08-24 00:38:21 UTC
pbp,2016,336773,2026-08-24 00:37:15 UTC
pbp,2017,339419,2026-08-24 00:36:10 UTC
pbp,2018,333841,2026-08-24 00:35:06 UTC
pbp,2019,338681,2026-08-24 00:33:59 UTC
pbp,2020,350351,2026-08-24 00:32:53 UTC
pbp,2021,179924,2026-08-24 00:32:03 UTC
pbp,2022,320319,2026-08-24 00:31:03 UTC
pbp,2023,339599,2026-08-24 00:29:59 UTC
pbp,2024,326932,2026-08-24 00:28:55 UTC
pbp,2025,349065,2026-08-24 00:27:48 UTC
pbp,2026,353879,2026-08-24 00:26:37 UTC
