dataset,season,row_count,generated_at_utc
pbp_cfbfastr,2014,304146,2026-08-24 00:53:58 UTC
pbp_cfbfastr,2015,308466,2026-08-24 00:53:40 UTC
pbp_cfbfastr,2016,297487,2026-08-24 00:53:22 UTC
pbp_cfbfastr,2017,299737,2026-08-24 00:53:04 UTC
pbp_cfbfastr,2018,294756,2026-08-24 00:52:46 UTC
pbp_cfbfastr,2019,299138,2026-08-24 00:52:27 UTC
pbp_cfbfastr,2020,309985,2026-08-24 00:52:08 UTC
pbp_cfbfastr,2021,159368,2026-08-24 00:51:53 UTC
pbp_cfbfastr,2022,280432,2026-08-24 00:51:36 UTC
pbp_cfbfastr,2023,296789,2026-08-24 00:51:18 UTC
pbp_cfbfastr,2024,285311,2026-08-24 00:50:58 UTC
pbp_cfbfastr,2025,305268,2026-08-24 00:50:37 UTC
pbp_cfbfastr,2026,309797,2026-08-24 00:50:15 UTC
