dataset,season,row_count,generated_at_utc
rosters,2013,25041,2026-08-24 10:16:39 UTC
rosters,2014,25147,2026-08-24 10:13:27 UTC
rosters,2015,25710,2026-08-24 10:10:19 UTC
rosters,2016,25634,2026-08-24 10:07:16 UTC
rosters,2017,25983,2026-08-24 10:04:06 UTC
rosters,2018,26670,2026-08-24 10:00:55 UTC
rosters,2019,27256,2026-08-24 09:57:40 UTC
rosters,2020,25952,2026-08-24 09:52:09 UTC
rosters,2021,28708,2026-08-24 09:49:21 UTC
rosters,2022,28960,2026-08-24 09:46:27 UTC
rosters,2023,29338,2026-08-24 09:43:24 UTC
rosters,2024,29950,2026-08-24 09:40:18 UTC
rosters,2025,29206,2026-08-24 09:36:56 UTC
