dataset,season,row_count,generated_at_utc
schedule,2013,3349,2026-08-24 01:44:13 UTC
schedule,2014,3114,2026-08-24 01:43:10 UTC
schedule,2015,3042,2026-08-24 01:42:07 UTC
schedule,2016,3043,2026-08-24 01:41:05 UTC
schedule,2017,3055,2026-08-24 01:40:02 UTC
schedule,2018,3052,2026-08-24 01:39:00 UTC
schedule,2019,3176,2026-08-24 01:37:57 UTC
schedule,2020,1995,2026-08-24 01:37:09 UTC
schedule,2021,3109,2026-08-24 01:36:08 UTC
schedule,2022,3145,2026-08-24 01:35:06 UTC
schedule,2023,3148,2026-08-24 01:34:03 UTC
schedule,2024,3282,2026-08-24 01:32:59 UTC
schedule,2025,3314,2026-08-24 09:36:52 UTC
