dataset,season,row_count,generated_at_utc
teams,2013,252,2026-08-24 01:44:10 UTC
teams,2014,252,2026-08-24 10:13:17 UTC
teams,2015,253,2026-08-24 10:10:10 UTC
teams,2016,253,2026-08-24 10:07:08 UTC
teams,2017,254,2026-08-24 10:03:57 UTC
teams,2018,255,2026-08-24 10:00:46 UTC
teams,2019,256,2026-08-24 09:57:32 UTC
teams,2020,257,2026-08-24 09:52:01 UTC
teams,2021,258,2026-08-24 09:49:13 UTC
teams,2022,261,2026-08-24 09:46:19 UTC
teams,2023,261,2026-08-24 09:43:15 UTC
teams,2024,263,2026-08-24 09:40:10 UTC
teams,2025,265,2026-08-24 09:36:47 UTC
